family,name,type,offerId,processName,partialURL,Install,Play
ultima/ultima-v-warriors-of-destiny,Ultima V: Warriors of Destiny,base,OFB-EAST:39467,DOSBox.exe,/store/ultima/ultima-v-warriors-of-destiny/standard-edition?,Automatable,Automatable
unravel/unravel,Unravel™,base,Origin.OFR.50.0000823,Unravel.exe,/store/unravel/unravel/standard-edition?,Automatable,Automatable
vacation-quest/vacation-quest-australia,Vacation Quest™ - Australia,base,OFB-EAST:109550789,VacationQuestAustralia.exe,/store/vacation-quest/vacation-quest-australia/standard-edition?,Automatable,Automatable
vacation-quest/vacation-quest-the-hawaiian-islands,Vacation Quest™ - The Hawaiian Islands,base,OFB-EAST:109552150,VacationQuest.exe,/store/vacation-quest/vacation-quest-the-hawaiian-islands/standard-edition?,Automatable,Automatable
walking-dead/the-walking-dead,The Walking Dead,base,OFB-EAST:50653,Setup.exe,/store/walking-dead/the-walking-dead/standard-edition?,Not automatable: Steam,Automatable
wargame/wargame-european-escalation,Wargame: European Escalation,base,OFB-EAST:47874,Setup.exe,/store/wargame/wargame-european-escalation/standard-edition?,Not automatable: Steam,Automatable
warp/warp,Warp,base,OFB-EAST:58066,Pending,/store/warp/warp/standard-edition?,Automatable,Automatable
wasteland/wasteland-2,Wasteland™ 2: Director’s Cut Classic Edition,base,Origin.OFR.50.0001189,WL2.exe,/store/wasteland/wasteland-2/classic-edition?,Automatable,Automatable
wasteland/wasteland-2,Wasteland™ 2: Director’s Cut Digital Deluxe Edition,base,Origin.OFR.50.0001190,WL2.exe,/store/wasteland/wasteland-2/digital-deluxe-edition?,Automatable,Automatable
watch-dogs/watch-dogs,Watch_Dogs™,base,Origin.OFR.50.0000538,upc.exe,/store/watch-dogs/watch-dogs/standard-edition?,Not automatable: Uplay,Automatable
watch-dogs/watch-dogs-2,Watch_Dogs® 2,base,Origin.OFR.50.0001616,upc.exe,/store/watch-dogs/watch-dogs-2/standard-edition?,Not automatable: Uplay,Automatable
watch-dogs/watch-dogs-2,Watch_Dogs® 2 Deluxe Edition,base,Origin.OFR.50.0001626,upc.exe,/store/watch-dogs/watch-dogs-2/deluxe-edition?,Not automatable: Uplay,Automatable
watch-dogs/watch-dogs-2,Watch_Dogs® 2 Gold Edition,base,Origin.OFR.50.0001636,upc.exe,/store/watch-dogs/watch-dogs-2/gold-edition?,Not automatable: Uplay,Automatable
wing-commander/wing-commander,Wing Commander™ 1,base,OFB-EAST:39133,DOSBox.exe,/store/wing-commander/wing-commander/standard-edition?,Automatable,Not Automatable: DOSBox.exe
wing-commander/wing-commander-iii-heart-of-the-tiger,Wing Commander 3™: Heart of the Tiger,base,DR:235664700,DOSBox.exe,/store/wing-commander/wing-commander-iii-heart-of-the-tiger/standard-edition?,Automatable,Not Automatable: DOSBox.exe
wing-commander/wing-commander-ii-vengeance-of-the-kilrathi,Wing Commander™ II,base,OFB-EAST:39135,DOSBox.exe,/store/wing-commander/wing-commander-ii-vengeance-of-the-kilrathi/standard-edition?,Automatable,Not Automatable: DOSBox.exe
wing-commander/wing-commander-iv-the-price-of-freedom,Wing Commander™ IV: The Price of Freedom,base,OFB-EAST:39460,wc4dvd.exe,/store/wing-commander/wing-commander-iv-the-price-of-freedom/standard-edition?,Automatable,Automatable
wing-commander/wing-commander-privateer,Wing Commander™: Privateer,base,DR:231813400,DOSBox.exe,/store/wing-commander/wing-commander-privateer/standard-edition?,Automatable,Not Automatable: DOSBox.exe
witcher/the-witcher,The Witcher: Enhanced Edition,base,OFB-EAST:51990,External Installer,/store/witcher/the-witcher/enhanced-edition?,Not automatable: External Installer,Automatable
witcher/the-witcher-assassins-of-kings,The Witcher 2: Assassins of Kings Enhanced Edition,base,OFB-EAST:46853,External Installer,/store/witcher/the-witcher-assassins-of-kings/enhanced-edition?,Not automatable: External Installer,Automatable
witcher/the-witcher-wild-hunt,Alternative Look for Ciri,dlc,Origin.OFR.50.0000845,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/alternative-look-for-ciri?,,
witcher/the-witcher-wild-hunt,Alternative Look for Triss,dlc,Origin.OFR.50.0000840,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/alternative-look-for-triss?,,
witcher/the-witcher-wild-hunt,Alternative Look for Yennefer,dlc,Origin.OFR.50.0000836,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/alternative-look-for-yennefer?,,
witcher/the-witcher-wild-hunt,Ballad Heroes' Neutral Gwent Card Set,dlc,Origin.OFR.50.0000842,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-blood-and-wine-extras,,
witcher/the-witcher-wild-hunt,Beard and Hairstyle Set,dlc,Origin.OFR.50.0000835,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/beard-and-hairstyle-set?,,
witcher/the-witcher-wild-hunt,Elite Crossbow Set,dlc,Origin.OFR.50.0000849,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/elite-crossbow-set?,,
witcher/the-witcher-wild-hunt,New Finisher Animations,dlc,Origin.OFR.50.0000852,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/new-finisher-animations,,
witcher/the-witcher-wild-hunt,NEW GAME +,dlc,Origin.OFR.50.0000843,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/new-game-?,,
witcher/the-witcher-wild-hunt,New Quest - 'Contract: Missing Miners',dlc,Origin.OFR.50.0000838,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/new-quest--contract-missing-miners?,,
witcher/the-witcher-wild-hunt,New Quest - 'Contract: Skellige's Most Wanted',dlc,Origin.OFR.50.0000848,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/new-quest--contract-skelliges-most-wanted?,,
witcher/the-witcher-wild-hunt,New Quest - 'Fool's Gold',dlc,Origin.OFR.50.0000841,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/new-quest--fools-gold?,,
witcher/the-witcher-wild-hunt,New Quest - 'Scavenger Hunt: Wolf School Gear',dlc,Origin.OFR.50.0000844,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/new-quest--scavenger-hunt-wolf-school-gear?,,
witcher/the-witcher-wild-hunt,New Quest - 'Where the Cat and Wolf Play...',dlc,Origin.OFR.50.0000851,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/new-quest--where-the-cat-and-wolf-play--?,,
witcher/the-witcher-wild-hunt,Nilfgaardian Armor Set,dlc,Origin.OFR.50.0000839,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/nilfgaardian-armor-set?,,
witcher/the-witcher-wild-hunt,Skellige Armor Set,dlc,Origin.OFR.50.0000850,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/skellige-armor-set?,,
witcher/the-witcher-wild-hunt,Temerian Armor Set,dlc,Origin.OFR.50.0000834,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/temerian-armor-set?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt,base,Origin.OFR.50.0000743,witcher3.exe,/store/witcher/the-witcher-wild-hunt/standard-edition?,Automatable,Automatable
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt - Hearts of Stone,dlc,Origin.OFR.50.0000988,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt--hearts-of-stone?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Blood and Wine,dlc,Origin.OFR.50.0000989,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-blood-and-wine?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt Brazilian Portuguese Voice-Over Pack,dlc,Origin.OFR.50.0001036,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-brazilian-portuguese-voice-over-pack?,,
witcher/the-witcher-wild-hunt,The Witcher® 3: Wild Hunt English Voice-Over Pack,dlc,Origin.OFR.50.0001019,witcher3.exe,/store/witcher/the-witcher-wild-hunt/addon/the-witcher-3-wild-hunt-english-voice-over-pack?,,
